,handle,created_at,tweet_text,key_word_list
25,RepPeteAguilar,2022-12-04T15:54:59.000Z,"RT @FaceTheNation: For the first time in more than a decade, House Democrats will have new leadership. Tomorrow, @margbrennan will talk wit…","['rt', 'first', 'time', 'more', 'decade', 'house', 'democrats', 'have', 'new', 'leadership', 'tomorrow', 'talk', 'wit']"
26,RepPeteAguilar,2022-12-02T20:29:38.000Z,My statement with @RepJeffries and @RepKClark condemning antisemitism https://t.co/gTznIDZRE0,"['statement', 'condemn', 'antisemitism']"
27,RepPeteAguilar,2022-12-02T20:02:22.000Z,"Today we mark the 7th anniversary of the deadly terror attack that devastated my hometown of San Bernardino. Together, we honor the memory of the 14 people who lost their lives and keep their families in our hearts.","['today', 'mark', 'anniversary', 'deadly', 'terror', 'attack', 'devastate', 'hometown', 'san', 'bernardino', 'together', 'honor', 'memory', 'people', 'lose', 'life', 'keep', 'family', 'heart']"
28,RepPeteAguilar,2022-12-01T16:43:33.000Z,"My statement on the election of @RepJoeNeguse, @RepEscobar, @RepDeanPhillips and @RepUnderwood as Chair and Co-Chairs of the Democratic Policy and Communications Committee (DPCC) https://t.co/iKZtmZmBer","['statement', 'election', 'chair', 'co', 'chairs', 'democratic', 'policy', 'communications', 'committee', 'dpcc']"
29,RepPeteAguilar,2022-12-01T15:26:10.000Z,My statement on the election of @WhipClyburn as Assistant Democratic Leader https://t.co/O69nMX4K01,"['statement', 'election', 'assistant', 'democratic', 'leader']"
40,RepColinAllred,2022-12-07T00:00:01.000Z,"I took leave after my both sons were born to be with my family during that critical time. When families have paid leave, it leads to better outcomes. That's why I joined the new bipartisan Paid Leave Caucus to ensure every family can do the same. https://t.co/4zv2xZHtSC","['take', 'leave', 'son', 'bear', 'family', 'critical', 'time', 'family', 'pay', 'leave', 'lead', 'well', 'outcome', 'join', 'new', 'bipartisan', 'paid', 'leave', 'caucus', 'ensure', 'family', 'do', 'same']"
41,RepColinAllred,2022-12-06T22:00:00.000Z,"Our brave Capitol Police officers put themselves at risk during the deadly attack on the Capitol on January 6. For that, we owe them a debt of gratitude.
 
I’m proud these heroes were honored today with the Congressional Gold Medal.
https://t.co/fdCMu19pKG","['brave', 'capitol', 'police', 'officer', 'put', 'risk', 'deadly', 'attack', 'capitol', 'january', 'owe', 'debt', 'gratitude', 'proud', 'hero', 'honor', 'today', 'congressional', 'gold', 'medal']"
42,RepColinAllred,2022-12-06T20:00:02.000Z,"DACA recipients are veterans, teachers, health care workers and small business owners. They represent so much of what makes America great. That's why the time is now for the Senate to finally act and #ProtectDACA. #HomeisHere","['daca', 'recipient', 'veteran', 'teacher', 'health', 'care', 'worker', 'small', 'business', 'owner', 'represent', 'so', 'much', 'make', 'america', 'great', 'time', 'now', 'senate', 'finally', 'act', 'homeishere']"
43,RepColinAllred,2022-12-06T18:43:42.000Z,"RT @RepSylviaGarcia: Today, the Texas Democratic Delegation met to celebrate and honor the legacy of @RepEBJ. 

Congresswoman Johnson has b…","['rt', 'today', 'texas', 'democratic', 'delegation', 'meet', 'celebrate', 'honor', 'legacy', 'congresswoman', 'johnson', 'have']"
44,RepColinAllred,2022-12-06T18:11:39.000Z,"Aly and I were so honored to spend an evening with @POTUS, @FLOTUS, @VP and @SecondGentleman to welcome the holiday season at the annual @WhiteHouse Holiday Ball. https://t.co/9gKtl2ZlHb","['aly', 'so', 'honored', 'spend', 'evening', 'welcome', 'holiday', 'season', 'annual', 'holiday', 'ball']"
45,RepColinAllred,2022-12-06T16:34:09.000Z,Great news for our region. This contract will create good-paying jobs and help North Texas lead in the manufacturing of state-of-the-art technology for our military. https://t.co/qBUQGvzvI9,"['great', 'news', 'region', 'contract', 'create', 'good', 'pay', 'job', 'help', 'north', 'texas', 'lead', 'manufacturing', 'state', 'art', 'technology', 'military']"
46,RepColinAllred,2022-12-06T15:00:03.000Z,"Tomorrow is the last day to sign up for Medicare for next year, which is important because starting in 2023, measures like $35 monthly caps on insulin and free vaccines go into effect. Take advantage and visit https://t.co/tMsj4wbvL7 today. https://t.co/NxkPvyGjH0","['tomorrow', 'last', 'day', 'sign', 'medicare', 'next', 'year', 'important', 'start', 'measure', 'monthly', 'cap', 'insulin', 'free', 'vaccine', 'go', 'effect', 'take', 'advantage', 'visit', 'today']"
47,RepColinAllred,2022-12-06T00:00:01.000Z,"We must make sure something like January 6 never happens again. To do that we must pass the Electoral Count Reform Act to protect our democracy.

Watch my conversation with @AliciaOnMSNBC. https://t.co/ktKkxfqEZj","['make', 'sure', 'january', 'never', 'happen', 'again', 'do', 'pass', 'electoral', 'count', 'reform', 'act', 'protect', 'democracy', 'watch', 'conversation']"
48,RepColinAllred,2022-12-05T18:12:16.000Z,"Folks, my last telephone town hall of the year has begun! Join me right now to hear the latest on my work in Congress and get answers to your questions. Listen live at https://t.co/VZEMhoXMTY or call 855-543-3322.","['folk', 'last', 'telephone', 'town', 'hall', 'year', 'begin', 'join', 'right', 'now', 'hear', 'late', 'work', 'congress', 'get', 'answer', 'question', 'listen', 'live', 'call']"
49,RepColinAllred,2022-12-05T15:41:31.000Z,Steady progress to lower costs thanks to our work in Congress with @POTUS. Americans are now seeing real relief and I’ll keep working to ensure we keep lowering costs across the board. https://t.co/oIigYZ9IIy,"['steady', 'progress', 'lower', 'cost', 'thank', 'work', 'congress', 'americans', 'now', 'see', 'real', 'relief', 'keep', 'work', 'ensure', 'keep', 'lower', 'cost', 'board']"
80,RepAuchincloss,2022-12-02T19:31:57.000Z,"Today, I met with the Director of the ATF division of the Justice Department with fellow task force members to discuss the concerning rise of ghost guns. 

I am committed to ensuring illegal guns stay off the streets and out of the hands of dangerous individuals. https://t.co/o4ho1bAqa3","['today', 'meet', 'director', 'atf', 'division', 'justice', 'department', 'fellow', 'task', 'force', 'member', 'discuss', 'concern', 'rise', 'ghost', 'gun', 'committed', 'ensure', 'illegal', 'gun', 'stay', 'street', 'hand', 'dangerous', 'individual']"
81,RepAuchincloss,2022-11-30T19:23:33.000Z,"Looking forward to working with the next generation of Dem leadership, and excited to have my friend and neighbor @RepKClark whipping votes https://t.co/Z4aAWHXsLG","['look', 'forward', 'work', 'next', 'generation', 'dem', 'leadership', 'excited', 'have', 'friend', 'neighbor', 'whipping', 'vote']"
82,RepAuchincloss,2022-11-30T15:19:45.000Z,My 2022 #SpotifyWrapped https://t.co/ag7N9bNVsv,['spotifywrapped']
83,RepAuchincloss,2022-11-29T17:40:02.000Z,"Xi Jinping’s zero-Covid policy is a catastrophe, both for public health and for Chinese society, children in particular. The CCP should listen to the brave protesters and follow the science, not the megalomania of one man.","['xi', 'jinping', 'covid', 'policy', 'catastrophe', 'public', 'health', 'chinese', 'society', 'child', 'particular', 'ccp', 'listen', 'brave', 'protester', 'follow', 'science', 'megalomania', 'man']"
84,RepAuchincloss,2022-11-26T19:58:32.000Z,Happy #SmallBusinessSaturday. Teddy was a happy customer holiday shopping for @ToysForTots_USA at Henry’s Bear Park in Newtonville. https://t.co/M8enIqAsxY,"['happy', 'smallbusinesssaturday', 'teddy', 'happy', 'customer', 'holiday', 'shopping', 'henry', 'bear', 'park', 'newtonville']"
85,RepAuchincloss,2022-11-26T16:21:18.000Z,RT @katiephangshow: “We can’t afford to do nothing for 2 years while Kevin McCarthy engages in showmanship &amp; political theater for the deli…,"['rt', 'afford', 'do', 'year', 'kevin', 'mccarthy', 'engage', 'showmanship', 'amp', 'political', 'theater', 'deli']"
86,RepAuchincloss,2022-11-24T17:42:24.000Z,Happy Thanksgiving from my office and me. I hope your holiday is spent with loved ones. https://t.co/7jlE8JEXCa,"['happy', 'thanksgiving', 'office', 'hope', 'holiday', 'spend', 'love', 'one']"
87,RepAuchincloss,2022-11-23T17:53:25.000Z,"“Cities should price their curbs to manage demand.”

100%.

https://t.co/a9Xip505E2","['city', 'price', 'curb', 'manage', 'demand']"
88,RepAuchincloss,2022-11-22T16:54:00.000Z,"Send Ukraine the Gray Eagles. Their military advantage outweighs the legitimate concerns about security.

https://t.co/ElT4m1YWJx","['send', 'ukraine', 'gray', 'eagles', 'military', 'advantage', 'outweigh', 'legitimate', 'concern', 'security']"
89,RepAuchincloss,2022-11-21T14:44:12.000Z,We must recommit ourselves to making housing affordable for working families https://t.co/X27snKdhZt,"['recommit', 'make', 'housing', 'affordable', 'work', 'family']"
90,RepCindyAxne,2022-12-05T23:07:28.000Z,"Angie Sylling has played a crucial role here in Iowa in the battle to raise awareness of cancer, offer affected families support and resources, find better treatments, and fight for a cure.

Please join me in honoring her as #IowanOfTheWeek!

https://t.co/p4lu59jNUO https://t.co/Ysnyyaioxk","['angie', 'sylling', 'play', 'crucial', 'role', 'here', 'iowa', 'battle', 'raise', 'awareness', 'cancer', 'offer', 'affected', 'family', 'support', 'resource', 'find', 'well', 'treatment', 'fight', 'cure', 'join', 'honor', 'as', 'iowanoftheweek']"
91,RepCindyAxne,2022-12-03T16:08:59.000Z,"Today high school students from around #IA03 are interviewing for nominations to attend one of the prestigious United States Military Service Academies. 

I thank them for their passion &amp; thank my selection committee for helping young Iowans pursue their dreams. https://t.co/gpcxAhfWpr","['today', 'high', 'school', 'student', 'interview', 'nomination', 'attend', 'prestigious', 'united', 'states', 'military', 'service', 'academies', 'thank', 'passion', 'amp', 'thank', 'selection', 'committee', 'help', 'young', 'iowans', 'pursue', 'dream']"
92,RepCindyAxne,2022-11-28T21:19:45.000Z,"Said Atmar put his life on the line in the field to support our troops &amp; the U.S. mission in Afghanistan. Now, he's committed to ensuring Afghan SIVs &amp; refugees have the resources they need to thrive in Iowa.

Join me in honoring him as #IowanOfTheWeek!
https://t.co/Tj422mdoUu https://t.co/y1Sht9i2YF","['say', 'atmar', 'put', 'life', 'line', 'field', 'support', 'troop', 'amp', 'mission', 'afghanistan', 'now', 'commit', 'ensure', 'afghan', 'sivs', 'amp', 'refugee', 'have', 'resource', 'need', 'thrive', 'iowa', 'join', 'honor', 'iowanoftheweek']"
93,RepCindyAxne,2022-11-24T16:03:57.000Z,Wishing you and your family a safe and healthy Thanksgiving! #IA03 https://t.co/0ssiB013OL,"['wish', 'family', 'safe', 'healthy', 'thanksgiving']"
94,RepCindyAxne,2022-11-18T19:55:46.000Z,"For too long, dogfighters and cockfighters have carried on their rampant abuses with too many enforcement loopholes and not enough tools to end the abuses.

My new legislation will help defend these innocent animals and hold abusers accountable.
https://t.co/OH0GR1039W","['too', 'long', 'dogfighter', 'cockfighter', 'carry', 'rampant', 'abuse', 'too', 'many', 'enforcement', 'loophole', 'enough', 'tool', 'end', 'abuse', 'new', 'legislation', 'help', 'defend', 'innocent', 'animal', 'hold', 'abuser', 'accountable']"
95,RepCindyAxne,2022-11-15T22:07:56.000Z,"For too long, affordable health care has been out of reach for Iowa families. That’s why I helped pass the Inflation Reduction Act to lower health insurance premiums and help people make ends meet. #PeopleOverPolitics","['too', 'long', 'affordable', 'health', 'care', 'reach', 'iowa', 'family', 'help', 'pass', 'inflation', 'reduction', 'act', 'lower', 'health', 'insurance', 'premium', 'help', 'people', 'make', 'end', 'meet', 'peopleoverpolitic']"
96,RepCindyAxne,2022-11-15T17:00:00.000Z,"One year ago, @POTUS signed the Infrastructure Investment and Jobs Act into law, kicking off an #InfrastructureDecade. This historic funding will upgrade America’s infrastructure, create good-paying jobs, and create new opportunities to make sure our best days are ahead of us.","['year', 'ago', 'sign', 'infrastructure', 'investment', 'jobs', 'act', 'law', 'kick', 'infrastructuredecade', 'historic', 'funding', 'upgrade', 'america', 'infrastructure', 'create', 'good', 'pay', 'job', 'create', 'new', 'opportunity', 'make', 'sure', 'good', 'day', 'ahead']"
97,RepCindyAxne,2022-11-14T18:04:25.000Z,"Tomorrow is the deadline to purchase American flags flown over the Capitol through my office.
https://t.co/cyrJX83ecX","['tomorrow', 'deadline', 'purchase', 'american', 'flag', 'fly', 'capitol', 'office']"
98,RepCindyAxne,2022-11-11T15:37:06.000Z,"Happy #VeteransDay!

Today and every day, we honor the service and the commitment of all who have helped keep our country safe and free. #IA03 https://t.co/9veEMuIiZR","['happy', 'veteransday', 'today', 'day', 'honor', 'service', 'commitment', 'help', 'keep', 'country', 'safe', 'free']"
99,RepCindyAxne,2022-11-10T23:19:08.000Z,"I know rising prices are squeezing families in #IA03. With the Inflation Reduction Act, we are lowering drug prices, energy costs, and health insurance premiums to help folks make ends meet. #PeopleOverPolitics","['know', 'rise', 'price', 'squeeze', 'family', 'inflation', 'reduction', 'act', 'lower', 'drug', 'price', 'energy', 'cost', 'health', 'insurance', 'premium', 'help', 'folk', 'make', 'end', 'meet', 'peopleoverpolitic']"
160,RepBarragan,2022-12-07T03:08:37.000Z,"Thank you @RepTeresaLF for leading this effort to recognize the incredible contributions that #DREAMERS have made to this country.


The Senate MUST take up and pass The American Dream and Promise Act so kids like Hugo can stay in the only home they’ve ever known. #HomeIsHere https://t.co/6bSJDOupXm","['thank', 'lead', 'effort', 'recognize', 'incredible', 'contribution', 'dreamer', 'make', 'country', 'senate', 'take', 'pass', 'american', 'dream', 'promise', 'act', 'kid', 'hugo', 'stay', 'only', 'home', 'ever', 'know', 'homeishere']"
161,RepBarragan,2022-12-06T20:58:44.000Z,"Advocacy works! Great result for our communities. It’s time to end oil drilling in residential neighborhoods. 

Proud to work with @STAND_LA and @CBECal for frontline communities. https://t.co/NDCVGRXMaM","['advocacy', 'work', 'great', 'result', 'community', 'time', 'end', 'oil', 'drilling', 'residential', 'neighborhood', 'proud', 'work', 'frontline', 'community']"
162,RepBarragan,2022-12-06T03:09:02.000Z,RT @JoaquinCastrotx: Thank you @AliciaMenendez for highlighting the music by Latino artists that we (@HispanicCaucus and I) nominated to th…,"['rt', 'thank', 'highlight', 'music', 'latino', 'artist', 'nominate', 'th']"
163,RepBarragan,2022-12-06T00:36:25.000Z,"Good news!


You now have until May 7, 2025 to get a #REALID driver’s license or identification card. This means you can continue to use your standard license or ID card for another 2 years. 


More information 👇🏽 https://t.co/2qfVezg7e4","['good', 'news', 'now', 'have', 'may', 'get', 'realid', 'driver', 'license', 'identification', 'card', 'mean', 'continue', 'use', 'standard', 'license', 'id', 'card', 'year', 'more', 'information']"
164,RepBarragan,2022-12-04T22:20:23.000Z,"Great to see so many people virtually from Washington DC yesterday at my legislative briefing in 
#CA44 to discuss how Democrats are fighting for the people. 

Thanks to those who asked questions, if we didn’t get to yours, we will. Our work continues! https://t.co/nURvO4G1qn","['great', 'see', 'so', 'many', 'people', 'virtually', 'washington', 'dc', 'yesterday', 'legislative', 'briefing', 'discuss', 'democrats', 'fight', 'people', 'thank', 'ask', 'question', 'get', 'work', 'continue']"
165,RepBarragan,2022-12-04T18:47:21.000Z,"As our interns are wrapping up their time here in Washington they had a special guest stop by the office on Friday - @RepLucyMcBath!
 
We try to make sure our interns get a chance to meet &amp; interact with other Members. Thanks Congresswoman for stopping by the office! https://t.co/cgoNIgjm9Y","['intern', 'wrap', 'time', 'here', 'washington', 'have', 'special', 'guest', 'stop', 'office', 'friday', 'try', 'make', 'sure', 'intern', 'get', 'chance', 'meet', 'amp', 'interact', 'other', 'member', 'thank', 'congresswoman', 'stop', 'office']"
166,RepBarragan,2022-12-04T05:43:01.000Z,"@RonPlacone @MSNBC @AymanM I appeared via zoom from Washington DC to do the lunch legislative briefing and answer constituent questions. As I explained on zoom, at the lunch, I couldn’t fly on Dr. advice due to an ear issue. The tv appearance was via zoom too.","['appear', 'zoom', 'washington', 'dc', 'do', 'lunch', 'legislative', 'briefing', 'answer', 'constituent', 'question', 'explain', 'lunch', 'fly', 'advice', 'ear', 'issue', 'tv', 'appearance', 'zoom', 'too']"
167,RepBarragan,2022-12-04T03:37:44.000Z,RT @AymanMSNBC: Republicans have wasted no time attacking Rep. Hakeem Jeffries since House Democrats elected him as the first Black man to…,"['rt', 'republicans', 'waste', 'time', 'attack', 'hakeem', 'jeffries', 'house', 'democrats', 'elect', 'first', 'black', 'man']"
168,RepBarragan,2022-12-04T03:10:03.000Z,@RonPlacone Did you stay for my leg briefing? I did appear via zoom from Washington DC to provide the leg briefing and I did answer questions. Constituents are welcomed to schedule an in person meeting with me. I voted for rail workers to get sick pay. Senate Rs did not.,"['stay', 'leg', 'briefing', 'appear', 'zoom', 'washington', 'dc', 'provide', 'leg', 'briefing', 'answer', 'question', 'constituent', 'welcome', 'schedule', 'person', 'meet', 'vote', 'rail', 'worker', 'get', 'sick', 'pay', 'senate', 'rs', 'do']"
169,RepBarragan,2022-12-03T23:14:41.000Z,TUNE IN at 9pmET/6pmPT on @MSNBC as I chat with @aymanM about the new leadership in the House of Representatives. https://t.co/EvBPQEu8Eg,"['tune', 'chat', 'new', 'leadership', 'house', 'representatives']"
170,RepKarenBass,2022-12-02T05:16:12.000Z,"The One Stop Shop Community Reentry Program Act that I introduced last year will help create resource centers supporting people transitioning out of incarceration by providing access to employment and housing services.

Thank you to my colleagues for your support.","['stop', 'shop', 'community', 'reentry', 'program', 'act', 'introduce', 'last', 'year', 'help', 'create', 'resource', 'center', 'support', 'people', 'transition', 'incarceration', 'provide', 'access', 'employment', 'housing', 'service', 'thank', 'colleague', 'support']"
171,RepKarenBass,2022-12-02T05:16:10.000Z,"All too often, folks who have served their time are released from jail with no where to go and no resources to access.

That often leads to homelessness — not just in L.A. but nationwide.

It’s a cycle we must work to break and today, Congress took a big step in that direction. https://t.co/L5927KFH2C","['all', 'too', 'often', 'folk', 'serve', 'time', 'release', 'jail', 'go', 'resource', 'access', 'often', 'lead', 'homelessness', 'just', 'nationwide', 'cycle', 'work', 'break', 'today', 'congress', 'take', 'big', 'step', 'direction']"
172,RepKarenBass,2022-12-02T05:14:45.000Z,"RT @HouseJudiciary: 🚨🚨🚨 BREAKING: The House PASSED H.R. 3372, One Stop Shop Community Reentry Program Act of 2021. https://t.co/G7LA6SoKaQ","['rt', 'breaking', 'house', 'passed', 'stop', 'shop', 'community', 'reentry', 'program', 'act']"
173,RepKarenBass,2022-12-02T05:14:25.000Z,"RT @HouseJudiciary: 🚨🚨🚨 BREAKING: The House PASSED H.R.6878, the Pregnant Women in Custody Act. https://t.co/taQJpOA6Dk","['rt', 'breaking', 'house', 'pass', 'pregnant', 'women', 'custody', 'act']"
174,RepKarenBass,2022-11-24T23:35:53.000Z,"Today, we celebrate together with gratitude and high hopes for what is to come. 

Wishing everyone a happy and safe Thanksgiving!","['today', 'celebrate', 'together', 'gratitude', 'high', 'hope', 'come', 'wish', 'happy', 'safe', 'thanksgiving']"
175,RepKarenBass,2022-11-24T03:14:40.000Z,"I look forward to seeing all she does for the good people of California's 37th District.

Our district is in good hands. 3/3","['look', 'forward', 'see', 'do', 'good', 'people', 'california', 'district', 'district', 'good', 'hand']"
176,RepKarenBass,2022-11-24T03:14:39.000Z,"I’ve known Congresswoman-elect Kamlager for years and have seen her selfless service up close.

Whether it was during her time on the L.A. Community College District Board or in the State Assembly or Senate, Congresswoman-elect Kamlager has ALWAYS fought for all Angelenos. 2/","['know', 'congresswoman', 'elect', 'kamlager', 'year', 'see', 'selfless', 'service', 'close', 'time', 'community', 'college', 'district', 'board', 'state', 'assembly', 'senate', 'congresswoman', 'elect', 'kamlager', 'always', 'fight', 'angelenos']"
177,RepKarenBass,2022-11-24T03:14:39.000Z,"I want to congratulate my sister in service, State Senator and soon to be United States Congresswoman @sydneykamlager, on being elected to serve in the House of Representatives. 1/ https://t.co/JwxAqyiCEn","['want', 'congratulate', 'sister', 'service', 'state', 'senator', 'soon', 'united', 'states', 'congresswoman', 'elect', 'serve', 'house', 'representatives']"
178,RepKarenBass,2022-11-15T22:08:11.000Z,"One year ago today, President Biden signed the Bipartisan Infrastructure Bill into law, which included my provision to bring jobs straight to Los Angeles.

As we recover from the pandemic, we must do all we can to get jobs to those who need them most. 
https://t.co/aSNwwIcnIy","['year', 'ago', 'today', 'president', 'biden', 'sign', 'bipartisan', 'infrastructure', 'bill', 'law', 'include', 'provision', 'bring', 'job', 'straight', 'los', 'angeles', 'recover', 'pandemic', 'do', 'get', 'job', 'need', 'most']"
179,RepKarenBass,2022-11-03T19:27:00.000Z,"It's November -- you know what that means! 

Looking for your local voting center? Click here! https://t.co/hqyq4HhSRY","['november', 'know', 'mean', 'look', 'local', 'voting', 'center', 'click', 'here']"
180,RepBeatty,2022-12-06T20:42:24.000Z,.@FSCDems have proved that paying lip service to the importance of diversity and inclusion is simply unacceptable. That’s why we’ve spent the past 4 years centering the voices of diverse communities &amp; working to protect them. 📺: https://t.co/6J3jip7j4X,"['prove', 'pay', 'lip', 'service', 'importance', 'diversity', 'inclusion', 'simply', 'unacceptable', 'spend', 'past', 'year', 'center', 'voice', 'diverse', 'community', 'amp', 'work', 'protect']"
181,RepBeatty,2022-12-06T16:59:06.000Z,Two days Left to register for the #PowerOfOne! RSVP to https://t.co/5SbmqGVib1 to claim your seat. https://t.co/8RqZJQWOFF,"['day', 'leave', 'register', 'powerofone', 'rsvp', 'claim', 'seat']"
182,RepBeatty,2022-12-05T20:01:30.000Z,Four days Left to register for the #PowerOfOne! RSVP to https://t.co/5SbmqHcT2z to claim your seat. https://t.co/z80c5p08rQ,"['day', 'leave', 'register', 'powerofone', 'rsvp', 'claim', 'seat']"
183,RepBeatty,2022-12-05T19:58:48.000Z,"RT @Ilhan: Glad to have the support of @SenMarkey, @RepRashida, and @RepBeatty as co-leads.","['rt', 'glad', 'have', 'support', 'co', 'lead']"
184,RepBeatty,2022-12-05T19:58:46.000Z,"RT @Ilhan: Today, our office sent a letter with @SenWarren to the heads of all U.S. banking regulators calling on them to improve banking a…","['rt', 'today', 'office', 'send', 'letter', 'head', 'banking', 'regulator', 'call', 'improve', 'bank']"
185,RepBeatty,2022-12-05T19:58:06.000Z,"#OnThisDay in 1955, the Montgomery bus boycott began after the arrest of Rosa Parks. https://t.co/cta9qnhjOX","['onthisday', 'montgomery', 'bus', 'boycott', 'begin', 'arrest', 'rosa', 'parks']"
186,RepBeatty,2022-12-04T21:02:00.000Z,"Happy Founders Day to the men of Alpha Phi Alpha (@apa1906NETwork). Congratulations on 117 years of brotherhood, scholarship, and service.","['happy', 'founders', 'day', 'man', 'alpha', 'phi', 'alpha', 'congratulation', 'year', 'brotherhood', 'scholarship', 'service']"
187,RepBeatty,2022-12-03T14:56:00.000Z,We shouldn’t deny borrowers access to student loan debt relief. #CancelStudentDebt,"['deny', 'borrower', 'access', 'student', 'loan', 'debt', 'relief']"
188,RepBeatty,2022-12-01T18:18:21.000Z,"Join me next Thursday, Dec. 9 to pay tribute in person. RSVP to
https://t.co/5SbmqGVQ0z
to claim your seat. https://t.co/T6b8Phi6XB","['join', 'next', 'thursday', 'pay', 'tribute', 'person', 'rsvp', 'claim', 'seat']"
189,RepBeatty,2022-12-01T18:18:20.000Z,"Today, we honor the legendary trailblazer, #RosaParks for her bravery to spark a movement that changed America for the better. Her leadership has inspired me and so many Americans – and countless others around the world – all these years later.","['today', 'honor', 'legendary', 'trailblazer', 'rosapark', 'bravery', 'spark', 'movement', 'change', 'america', 'well', 'leadership', 'inspire', 'so', 'many', 'americans', 'countless', 'other', 'world', 'year', 'later']"
